path,title,type,values,codelist,internationalization,notes
id,Identifier or Reference,string,,,True,Only the part of the identifier following the prefix can be internationalized.
updated,Last updated,string,date-time,,False,
title,Project title,string,,,True,
description,Project description,string,,,True,
status,Status,string,"Enum: identification, preparation, implementation, completion, completed, cancelled",projectStatus.csv,False,
period,Project period,unknown,,,False,
sector,Project sector,array,,projectSector.csv,False,
purpose,Project purpose,string,,,True,
additionalClassifications,Additional classifications,array,,,False,
type,Project type,string,"Enum: construction, rehabilitation, replacement, expansion",projectType.csv,False,
relatedProjects,Related projects,array,,,False,
assetLifetime,Asset lifetime,unknown,,,False,
locations,Project locations,array,,,False,
budget,Total project value,object,,,False,
budget/amount,Amount,unknown,,,False,
budget/requestDate,Request date,string,date-time,,False,
budget/approvalDate,Approval date,string,date-time,,False,
budget/budgetBreakdown,Budget breakdown,array,,,False,
forecasts,Forecasts,array,,,False,
parties,Parties,array,,,False,
publicAuthority,Public authority,unknown,,,False,
documents,Documents,array,,,False,
contractingProcesses,Contracting processes,array,,,False,
metrics,Metrics,array,,,False,
completion,Completion,object,,,False,
completion/endDate,End date,string,date-time,,False,
completion/endDateDetails,End date details,string,,,True,
completion/finalValue,Final value,unknown,,,False,
completion/finalValueDetails,Final value details,string,,,True,
completion/finalScope,Final scope,string,,,True,
completion/finalScopeDetails,Final scope details,string,,,True,
language,Language,string,,,True,
